step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,18.51,1.298808,3.13e-06,2048,110640.5,1787804196.935
2,16.323,1.252517,6.25e-06,2048,125464.83,1787804196.952
3,16.625,1.263447,9.37e-06,2048,123188.71,1787804196.969
4,17.417,1.241573,1.25e-05,2048,117589.64,1787804196.986
5,16.177,1.224597,1.563e-05,2048,126597.93,1787804197.003
6,15.234,1.237153,1.875e-05,2048,134437.89,1787804197.018
7,14.948,1.227951,2.187e-05,2048,137009.21,1787804197.033
8,16.275,1.312721,2.5e-05,2048,125835.63,1787804197.049
9,14.874,1.285609,2.813e-05,2048,137688.08,1787804197.064
10,15.602,1.22287,3.125e-05,2048,131264.38,1787804197.08
11,16.384,1.215817,3.438e-05,2048,125002.29,1787804197.097
12,15.571,1.274354,3.75e-05,2048,131529.09,1787804197.113
13,16.932,1.255382,4.063e-05,2048,120955.84,1787804197.13
14,16.637,1.19786,4.375e-05,2048,123098.38,1787804197.146
15,15.451,1.297485,4.688e-05,2048,132549.77,1787804197.162
16,25.158,1.278126,5e-05,2048,81406.16,1787804197.187
17,17.232,1.256697,5.312e-05,2048,118845.89,1787804197.205
18,16.254,1.259054,5.625e-05,2048,125996.65,1787804197.221
19,18.941,1.193526,5.937e-05,2048,108122.95,1787804197.24
20,15.155,1.210663,6.25e-05,2048,135136.92,1787804197.256
21,16.961,1.187783,6.563e-05,2048,120745.46,1787804197.273
22,17.738,1.228677,6.875e-05,2048,115457.69,1787804197.291
23,15.194,1.240125,7.187e-05,2048,134786.5,1787804197.306
24,23.202,1.192941,7.5e-05,2048,88266.73,1787804197.33
25,22.196,1.098753,7.813e-05,2048,92267.63,1787804197.352
26,32.123,1.210321,8.125e-05,2048,63755.34,1787804197.384
27,15.107,1.206504,8.438e-05,2048,135565.4,1787804197.4
28,16.479,1.106824,8.75e-05,2048,124281.65,1787804197.416
29,15.44,1.177938,9.062e-05,2048,132639.91,1787804197.432
30,15.042,1.144395,9.375e-05,2048,136155.73,1787804197.447
31,15.825,1.288135,9.688e-05,2048,129418.75,1787804197.463
32,16.181,0.999369,0.0001,2048,126567.42,1787804197.479
33,17.717,1.194647,0.00010312,2048,115596.5,1787804197.497
34,29.268,1.123894,0.00010625,2048,69972.84,1787804197.527
35,28.386,1.090878,0.00010938,2048,72146.97,1787804197.555
36,28.925,1.070346,0.0001125,2048,70803.31,1787804197.584
37,15.062,0.999462,0.00011563,2048,135966.81,1787804197.6
38,14.718,0.961576,0.00011875,2048,139154.07,1787804197.615
39,14.433,0.999171,0.00012187,2048,141896.06,1787804197.629
40,15.272,1.268407,0.000125,2048,134105.14,1787804197.645
41,24.78,1.046827,0.00012812,2048,82645.96,1787804197.67
42,20.364,0.949773,0.00013125,2048,100570.13,1787804197.69
43,16.019,1.142072,0.00013438,2048,127844.99,1787804197.706
44,14.908,0.792422,0.0001375,2048,137374.98,1787804197.721
45,14.979,1.035136,0.00014063,2048,136723.84,1787804197.736
46,20.332,0.904673,0.00014375,2048,100729.4,1787804197.757
47,21.029,1.189495,0.00014688,2048,97388.86,1787804197.778
48,19.324,1.05294,0.00015,2048,105983.84,1787804197.798
49,15.244,0.911137,0.00015313,2048,134346.18,1787804197.813
50,15.488,1.021248,0.00015625,2048,132228.84,1787804197.829
51,15.283,1.041203,0.00015937,2048,134008.61,1787804197.844
52,14.906,1.023944,0.0001625,2048,137397.1,1787804197.859
53,14.921,0.818957,0.00016563,2048,137258.98,1787804197.874
54,16.464,0.768307,0.00016875,2048,124394.88,1787804197.89
55,16.619,0.84722,0.00017187,2048,123232.44,1787804197.907
56,15.878,1.012923,0.000175,2048,128982.69,1787804197.923
57,17.068,0.862278,0.00017813,2048,119989.22,1787804197.941
58,15.034,0.857629,0.00018125,2048,136222.75,1787804197.956
59,14.768,0.968606,0.00018438,2048,138675.41,1787804197.971
60,15.931,0.676883,0.0001875,2048,128555.2,1787804197.987
61,17.192,0.738437,0.00019062,2048,119122.4,1787804198.005
62,16.621,0.636262,0.00019375,2048,123216.87,1787804198.022
63,18.398,0.711204,0.00019688,2048,111317.05,1787804198.04
64,19.182,0.641498,0.0002,2048,106768.43,1787804198.06
65,29.728,0.683881,0.00020313,2048,68891.28,1787804198.089
66,21.211,0.58952,0.00020625,2048,96551.85,1787804198.11
67,30.088,0.576412,0.00020938,2048,68066.32,1787804198.141
68,16.829,0.590883,0.0002125,2048,121694.69,1787804198.158
69,15.667,0.559863,0.00021563,2048,130720.62,1787804198.173
70,15.663,0.615395,0.00021875,2048,130752.34,1787804198.189
71,16.972,0.562428,0.00022187,2048,120667.92,1787804198.206
72,16.198,0.54061,0.000225,2048,126436.92,1787804198.223
73,15.61,0.556595,0.00022813,2048,131197.11,1787804198.239
74,15.127,0.477498,0.00023125,2048,135386.16,1787804198.254
75,15.245,0.456262,0.00023437,2048,134342.65,1787804198.27
76,16.056,0.412516,0.0002375,2048,127555.95,1787804198.286
77,20.434,0.385687,0.00024063,2048,100225.12,1787804198.307
78,15.306,0.480281,0.00024375,2048,133808.11,1787804198.322
79,15.278,0.484974,0.00024688,2048,134046.33,1787804198.338
80,16.198,0.454185,0.00025,2048,126437.7,1787804198.354
81,18.046,0.451603,0.00025312,2048,113485.24,1787804198.372
82,15.27,0.396844,0.00025625,2048,134118.31,1787804198.388
83,19.072,0.440786,0.00025938,2048,107385.37,1787804198.407
84,21.726,0.453497,0.0002625,2048,94263.2,1787804198.429
85,45.605,0.362484,0.00026563,2048,44907.06,1787804198.475
86,39.409,0.347778,0.00026875,2048,51968.09,1787804198.515
87,14.952,0.336834,0.00027187,2048,136972.56,1787804198.53
88,16.395,0.451249,0.000275,2048,124913.85,1787804198.547
89,19.695,0.410207,0.00027812,2048,103985.26,1787804198.566
90,17.601,0.522491,0.00028125,2048,116358.35,1787804198.584
91,17.869,0.426444,0.00028438,2048,114610.61,1787804198.602
92,17.538,0.531188,0.0002875,2048,116773.67,1787804198.62
93,20.39,0.628772,0.00029063,2048,100443.36,1787804198.641
94,16.766,0.453768,0.00029375,2048,122153.43,1787804198.658
95,17.593,0.515237,0.00029687,2048,116409.27,1787804198.675
96,21.029,0.497086,0.0003,2048,97388.39,1787804198.697
97,16.454,0.387288,0.00030313,2048,124470.48,1787804198.713
98,26.552,0.320057,0.00030625,2048,77131.38,1787804198.739
99,31.515,0.323307,0.00030938,2048,64984.72,1787804198.771
100,17.836,0.365193,0.0003125,2048,114822.02,1787804198.789
101,19.783,0.274066,0.00031562,2048,103524.27,1787804198.809
102,14.807,0.279068,0.00031875,2048,138309.22,1787804198.824
103,15.148,0.278101,0.00032188,2048,135195.8,1787804198.839
104,15.201,0.296354,0.000325,2048,134730.64,1787804198.855
105,21.57,0.296468,0.00032813,2048,94944.92,1787804198.876
106,24.068,0.280465,0.00033125,2048,85092.24,1787804198.901
107,20.933,0.284316,0.00033437,2048,97834.08,1787804198.922
108,15.617,0.25897,0.0003375,2048,131135.78,1787804198.938
109,21.534,0.270091,0.00034062,2048,95103.65,1787804198.96
110,15.623,0.246435,0.00034375,2048,131084.58,1787804198.976
111,18.036,0.248985,0.00034688,2048,113548.16,1787804198.994
112,17.087,0.232683,0.00035,2048,119855.1,1787804199.011
113,15.944,0.232402,0.00035313,2048,128452.8,1787804199.028
114,15.598,0.242845,0.00035625,2048,131300.57,1787804199.043
115,15.629,0.276246,0.00035937,2048,131041.81,1787804199.059
116,15.524,0.264017,0.0003625,2048,131923.06,1787804199.075
117,15.916,0.224169,0.00036563,2048,128675.55,1787804199.091
118,22.281,0.211112,0.00036875,2048,91916.88,1787804199.114
119,19.348,0.208096,0.00037188,2048,105848.55,1787804199.133
120,15.7,0.196027,0.000375,2048,130445.03,1787804199.148
121,16.29,0.192494,0.00037812,2048,125721.3,1787804199.165
122,17.605,0.213979,0.00038125,2048,116329.93,1787804199.183
123,21.036,0.208815,0.00038438,2048,97358.76,1787804199.204
124,16.452,0.217078,0.0003875,2048,124480.32,1787804199.221
125,16.391,0.172012,0.00039063,2048,124945.85,1787804199.237
126,16.403,0.183097,0.00039375,2048,124857.49,1787804199.254
127,15.323,0.160446,0.00039687,2048,133653.54,1787804199.269
128,15.444,0.171001,0.0004,2048,132610.71,1787804199.286
129,16.504,0.256168,0.00040313,2048,124089.63,1787804199.302
130,17.012,0.234901,0.00040625,2048,120387.03,1787804199.319
131,17.237,0.186446,0.00040938,2048,118812.11,1787804199.337
132,17.987,0.203289,0.0004125,2048,113861.91,1787804199.355
133,18.888,0.149113,0.00041563,2048,108428.06,1787804199.374
134,16.755,0.172845,0.00041875,2048,122232.9,1787804199.391
135,22.917,0.212589,0.00042187,2048,89364.8,1787804199.414
136,16.865,0.550322,0.000425,2048,121437.08,1787804199.431
137,17.473,0.221167,0.00042813,2048,117212.09,1787804199.449
138,15.624,0.169074,0.00043125,2048,131082.07,1787804199.465
139,17.185,0.163459,0.00043438,2048,119175.08,1787804199.482
140,16.224,0.242955,0.0004375,2048,126236.63,1787804199.499
141,15.666,0.156393,0.00044062,2048,130728.97,1787804199.515
142,15.706,0.143754,0.00044375,2048,130399.35,1787804199.531
143,22.189,0.139767,0.00044688,2048,92299.23,1787804199.553
144,16.544,0.139858,0.00045,2048,123788.86,1787804199.57
145,18.139,0.140029,0.00045313,2048,112907.14,1787804199.588
146,15.704,0.120589,0.00045625,2048,130410.14,1787804199.604
147,17.281,0.241413,0.00045937,2048,118515.09,1787804199.622
148,15.125,0.117744,0.0004625,2048,135409.43,1787804199.637
149,15.592,0.184034,0.00046563,2048,131349.41,1787804199.653
150,17.179,0.2262,0.00046875,2048,119218.1,1787804199.67
151,15.889,0.697444,0.00047188,2048,128890.96,1787804199.686
152,15.477,0.23068,0.000475,2048,132324.53,1787804199.702
153,16.63,0.222532,0.00047813,2048,123147.23,1787804199.719
154,16.137,0.238954,0.00048125,2048,126910.16,1787804199.735
155,15.947,0.172128,0.00048437,2048,128424.6,1787804199.751
156,15.359,0.170858,0.0004875,2048,133338.54,1787804199.767
157,15.809,0.1962,0.00049062,2048,129546.46,1787804199.783
158,15.636,0.39376,0.00049375,2048,130983.14,1787804199.798
159,21.684,0.17185,0.00049688,2048,94447.95,1787804199.82
160,16.359,0.139048,0.0005,2048,125191.03,1787804199.837
161,17.834,0.151431,0.00050313,2048,114833.61,1787804199.855
162,16.799,0.114329,0.00050625,2048,121909.84,1787804199.871
163,17.018,0.138609,0.00050938,2048,120340.34,1787804199.889
164,16.118,0.152973,0.0005125,2048,127058.97,1787804199.905
165,17.65,0.14497,0.00051563,2048,116033.34,1787804199.924
166,21.193,0.157027,0.00051875,2048,96633.86,1787804199.945
167,15.422,3.476306,0.00052187,2048,132799.89,1787804199.96
168,18.132,0.22834,0.000525,2048,112946.99,1787804199.978
169,16.783,0.151204,0.00052812,2048,122027.52,1787804199.996
170,16.432,0.12722,0.00053125,2048,124633.34,1787804200.012
171,16.022,0.128916,0.00053438,2048,127822.65,1787804200.028
172,16.511,0.230715,0.0005375,2048,124040.02,1787804200.045
173,17.791,0.335465,0.00054062,2048,115114.38,1787804200.063
174,16.362,0.15355,0.00054375,2048,125169.6,1787804200.08
175,15.465,0.148351,0.00054688,2048,132429.78,1787804200.095
176,19.798,0.116655,0.00055,2048,103446.36,1787804200.115
177,18.621,0.12952,0.00055313,2048,109982.76,1787804200.134
178,16.896,2.218564,0.00055625,2048,121209.97,1787804200.151
179,16.628,0.182914,0.00055937,2048,123164.26,1787804200.168
180,16.698,0.226755,0.0005625,2048,122650.89,1787804200.185
181,16.575,0.171863,0.00056563,2048,123560.32,1787804200.202
182,16.473,0.111265,0.00056875,2048,124324.65,1787804200.218
183,16.578,0.135455,0.00057188,2048,123540.2,1787804200.235
184,15.46,0.1583,0.000575,2048,132473.46,1787804200.25
185,15.899,0.142508,0.00057812,2048,128809.08,1787804200.266
186,16.947,0.134437,0.00058125,2048,120848.77,1787804200.283
