step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,2973.457,4.317956,0.0,4096,1377.52,1787636397.223
2,587.681,5.167603,0.0,4096,6969.77,1787636397.811
3,602.604,6.401003,0.0,4096,6797.16,1787636398.415
4,503.28,6.86465,0.0,4096,8138.62,1787636398.919
5,407.924,4.431228,0.0,4096,10041.08,1787636399.328
6,540.434,4.021747,0.0,4096,7579.1,1787636399.869
7,408.64,4.341186,0.0,4096,10023.5,1787636400.279
8,899.209,5.482205,1e-06,4096,4555.12,1787636401.178
9,759.947,4.638444,1e-06,4096,5389.85,1787636401.939
10,560.427,5.260896,1e-06,4096,7308.71,1787636402.5
11,440.486,5.051163,1e-06,4096,9298.82,1787636402.942
12,570.416,4.197993,1e-06,4096,7180.73,1787636403.512
13,491.565,5.820763,1e-06,4096,8332.57,1787636404.005
14,686.053,4.613224,1e-06,4096,5970.39,1787636404.692
15,532.249,5.094047,1e-06,4096,7695.65,1787636405.225
16,718.077,3.819755,2e-06,4096,5704.12,1787636405.944
17,676.096,4.67034,2e-06,4096,6058.31,1787636406.621
18,734.827,7.371799,2e-06,4096,5574.1,1787636407.357
19,855.446,4.491135,2e-06,4096,4788.15,1787636408.214
20,773.323,5.048787,2e-06,4096,5296.62,1787636408.989
21,629.335,5.307824,2e-06,4096,6508.46,1787636409.619
22,549.99,4.147393,2e-06,4096,7447.41,1787636410.17
23,688.801,4.099328,2e-06,4096,5946.57,1787636410.859
24,622.602,5.151942,3e-06,4096,6578.85,1787636411.484
25,529.962,3.904999,3e-06,4096,7728.85,1787636412.014
26,541.419,4.261143,3e-06,4096,7565.31,1787636412.556
27,603.144,4.527995,3e-06,4096,6791.08,1787636413.16
28,567.995,5.746549,3e-06,4096,7211.33,1787636413.729
29,474.656,4.290951,3e-06,4096,8629.4,1787636414.204
30,567.816,5.181082,3e-06,4096,7213.61,1787636414.772
31,429.648,6.116205,3e-06,4096,9533.39,1787636415.203
32,434.669,3.703963,4e-06,4096,9423.26,1787636415.639
33,549.622,4.899614,4e-06,4096,7452.39,1787636416.189
34,567.724,4.186985,4e-06,4096,7214.77,1787636416.758
35,657.771,5.245642,4e-06,4096,6227.09,1787636417.417
36,700.768,3.701938,4e-06,4096,5845.01,1787636418.118
37,705.716,4.009225,4e-06,4096,5804.03,1787636418.825
38,540.288,5.878938,4e-06,4096,7581.15,1787636419.366
39,471.174,5.245199,4e-06,4096,8693.17,1787636419.837
40,666.912,3.669999,5e-06,4096,6141.74,1787636420.505
41,544.461,5.031579,5e-06,4096,7523.04,1787636421.05
42,566.405,5.267772,5e-06,4096,7231.58,1787636421.617
43,647.604,4.019095,5e-06,4096,6324.85,1787636422.267
44,747.773,5.412973,5e-06,4096,5477.6,1787636423.015
45,618.327,4.792417,5e-06,4096,6624.33,1787636423.634
46,452.743,5.210801,5e-06,4096,9047.08,1787636424.087
47,688.411,4.611946,5e-06,4096,5949.93,1787636424.777
48,717.128,3.892117,6e-06,4096,5711.68,1787636425.495
49,758.025,4.74133,6e-06,4096,5403.52,1787636426.254
50,864.329,5.005813,6e-06,4096,4738.94,1787636427.119
51,777.652,7.06573,6e-06,4096,5267.14,1787636427.899
52,836.875,7.104436,6e-06,4096,4894.4,1787636428.736
53,769.622,5.053357,6e-06,4096,5322.09,1787636429.506
54,550.038,6.252978,6e-06,4096,7446.75,1787636430.058
55,616.404,5.472958,6e-06,4096,6644.99,1787636430.676
56,497.353,3.906657,7e-06,4096,8235.6,1787636431.174
57,577.975,4.667832,7e-06,4096,7086.81,1787636431.753
58,500.157,6.808595,7e-06,4096,8189.43,1787636432.253
59,537.269,5.100393,7e-06,4096,7623.74,1787636432.791
60,403.874,4.217772,7e-06,4096,10141.78,1787636433.197
61,483.464,4.412795,7e-06,4096,8472.18,1787636433.68
62,448.899,4.319312,7e-06,4096,9124.54,1787636434.131
63,545.3,5.395557,7e-06,4096,7511.46,1787636434.677
64,595.238,4.271632,8e-06,4096,6881.28,1787636435.273
65,396.912,4.226595,8e-06,4096,10319.66,1787636435.671
66,484.55,5.731252,8e-06,4096,8453.2,1787636436.156
67,486.081,5.005435,8e-06,4096,8426.58,1787636436.642
68,558.072,4.697016,8e-06,4096,7339.55,1787636437.201
69,679.788,4.154197,8e-06,4096,6025.41,1787636437.882
70,688.999,3.846996,8e-06,4096,5944.86,1787636438.572
71,746.254,4.394389,8e-06,4096,5488.75,1787636439.32
72,660.625,4.139958,9e-06,4096,6200.19,1787636439.981
73,448.196,3.802168,9e-06,4096,9138.86,1787636440.431
74,670.659,4.399767,9e-06,4096,6107.43,1787636441.102
75,699.317,4.491208,9e-06,4096,5857.15,1787636441.802
76,684.118,6.049448,9e-06,4096,5987.27,1787636442.487
77,666.742,4.566129,9e-06,4096,6143.31,1787636443.155
78,602.854,4.042229,9e-06,4096,6794.35,1787636443.758
79,830.849,6.087897,9e-06,4096,4929.89,1787636444.591
80,973.192,4.177482,1e-05,4096,4208.83,1787636445.565
81,982.885,4.980118,1e-05,4096,4167.32,1787636446.549
82,823.849,4.304823,1e-05,4096,4971.78,1787636447.375
83,673.912,5.200774,1e-05,4096,6077.94,1787636448.049
84,620.902,3.891981,1e-05,4096,6596.86,1787636448.671
85,669.587,5.099735,1e-05,4096,6117.2,1787636449.342
86,431.885,4.096385,1e-05,4096,9484.0,1787636449.775
87,464.031,5.212223,1e-05,4096,8827.0,1787636450.24
88,563.336,6.119531,1.1e-05,4096,7270.97,1787636450.805
89,454.979,4.776805,1.1e-05,4096,9002.62,1787636451.261
90,552.908,5.275908,1.1e-05,4096,7408.1,1787636451.814
91,579.815,3.840599,1.1e-05,4096,7064.32,1787636452.394
92,651.529,7.089725,1.1e-05,4096,6286.75,1787636453.048
93,526.41,4.967038,1.1e-05,4096,7781.0,1787636453.574
94,544.86,4.952915,1.1e-05,4096,7517.52,1787636454.12
95,610.17,5.619853,1.1e-05,4096,6712.89,1787636454.731
96,739.867,5.105271,1.2e-05,4096,5536.13,1787636455.472
97,686.165,6.36163,1.2e-05,4096,5969.41,1787636456.158
98,542.014,4.047402,1.2e-05,4096,7557.0,1787636456.702
99,722.932,6.607199,1.2e-05,4096,5665.82,1787636457.425
100,602.381,4.85663,1.2e-05,4096,6799.68,1787636458.029
101,698.939,5.00507,1.2e-05,4096,5860.31,1787636458.729
