step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,3811.962,5.129611,0.0,4096,1074.51,1787807304.196
2,3913.67,4.438455,0.0,4096,1046.59,1787807308.11
3,5227.541,6.88384,0.0,4096,783.54,1787807313.338
4,3806.768,4.323573,0.0,4096,1075.98,1787807317.145
5,4384.144,4.094745,0.0,4096,934.28,1787807321.529
6,4678.486,5.377261,0.0,4096,875.5,1787807326.208
7,3844.262,5.527303,0.0,4096,1065.48,1787807330.052
8,4068.304,4.731612,1e-06,4096,1006.81,1787807334.121
9,6057.809,5.215402,1e-06,4096,676.15,1787807340.18
10,10658.006,4.508194,1e-06,4096,384.31,1787807350.838
11,9769.042,4.535263,1e-06,4096,419.28,1787807360.607
12,11141.444,4.946002,1e-06,4096,367.64,1787807371.748
13,10042.827,5.230992,1e-06,4096,407.85,1787807381.792
14,12918.725,6.401621,1e-06,4096,317.06,1787807394.711
15,9606.159,4.753528,1e-06,4096,426.39,1787807404.317
16,9494.527,4.155726,2e-06,4096,431.41,1787807413.813
17,10181.076,5.701169,2e-06,4096,402.32,1787807423.994
18,14757.661,5.015752,2e-06,4096,277.55,1787807438.752
19,9851.382,4.86975,2e-06,4096,415.78,1787807448.604
20,9613.311,4.483725,2e-06,4096,426.08,1787807458.217
21,9833.595,6.475481,2e-06,4096,416.53,1787807468.051
22,10546.041,4.988438,2e-06,4096,388.39,1787807478.597
23,9744.939,5.07931,2e-06,4096,420.32,1787807488.342
24,10500.283,5.348182,3e-06,4096,390.08,1787807498.843
25,9037.027,5.379729,3e-06,4096,453.25,1787807507.881
26,14566.204,5.129158,3e-06,4096,281.2,1787807522.447
27,12101.144,5.426446,3e-06,4096,338.48,1787807534.549
28,11807.207,6.104224,3e-06,4096,346.91,1787807546.356
29,9486.735,5.18847,3e-06,4096,431.76,1787807555.844
30,9297.039,4.423357,3e-06,4096,440.57,1787807565.141
31,9884.075,4.923405,3e-06,4096,414.4,1787807575.025
32,8243.611,5.348144,4e-06,4096,496.87,1787807583.269
33,8962.17,5.176255,4e-06,4096,457.03,1787807592.232
34,10384.803,6.477383,4e-06,4096,394.42,1787807602.617
35,9400.897,5.406955,4e-06,4096,435.7,1787807612.018
36,10585.219,4.90239,4e-06,4096,386.95,1787807622.603
37,8933.533,5.565548,4e-06,4096,458.5,1787807631.538
38,9001.658,4.188658,4e-06,4096,455.03,1787807640.539
39,11370.57,4.66696,4e-06,4096,360.23,1787807651.91
40,11638.325,5.37571,5e-06,4096,351.94,1787807663.549
41,8727.691,6.601918,5e-06,4096,469.31,1787807672.277
42,12227.885,4.988904,5e-06,4096,334.97,1787807684.505
43,10519.097,4.512396,5e-06,4096,389.39,1787807695.025
44,9704.36,5.3503,5e-06,4096,422.08,1787807704.729
45,9573.002,5.287125,5e-06,4096,427.87,1787807714.302
46,11406.7,4.978623,5e-06,4096,359.09,1787807725.71
47,11884.934,6.181688,5e-06,4096,344.64,1787807737.595
48,10621.314,5.14103,6e-06,4096,385.64,1787807748.216
49,9073.772,4.187181,6e-06,4096,451.41,1787807757.291
50,11198.142,4.972016,6e-06,4096,365.77,1787807768.489
51,11494.273,4.898766,6e-06,4096,356.35,1787807779.985
52,10506.623,4.309358,6e-06,4096,389.85,1787807790.492
53,8846.145,4.417974,6e-06,4096,463.03,1787807799.339
54,11231.165,5.033831,6e-06,4096,364.7,1787807810.57
55,10939.405,4.227596,6e-06,4096,374.43,1787807821.509
56,10119.69,3.986727,7e-06,4096,404.76,1787807831.63
57,7360.944,6.999601,7e-06,4096,556.45,1787807838.991
58,13121.378,6.093178,7e-06,4096,312.16,1787807852.113
59,10607.809,5.344637,7e-06,4096,386.13,1787807862.721
60,10022.776,4.433115,7e-06,4096,408.67,1787807872.744
61,11470.016,5.442623,7e-06,4096,357.1,1787807884.215
62,8370.569,5.184699,7e-06,4096,489.33,1787807892.586
63,8670.758,5.044174,7e-06,4096,472.39,1787807901.257
64,8087.609,5.14673,8e-06,4096,506.45,1787807909.345
65,9017.47,4.915777,8e-06,4096,454.23,1787807918.362
66,10586.359,4.516085,8e-06,4096,386.91,1787807928.949
67,8367.452,4.783856,8e-06,4096,489.52,1787807937.317
68,11137.442,4.460172,8e-06,4096,367.77,1787807948.454
69,10375.549,5.189847,8e-06,4096,394.77,1787807958.831
70,9171.033,4.387282,8e-06,4096,446.62,1787807968.002
71,8873.117,5.181908,8e-06,4096,461.62,1787807976.875
72,10067.532,4.123547,9e-06,4096,406.85,1787807986.944
73,6832.441,5.282042,9e-06,4096,599.49,1787807993.776
74,14619.855,4.147353,9e-06,4096,280.17,1787808008.396
75,8898.852,4.672278,9e-06,4096,460.28,1787808017.296
76,12793.824,5.098257,9e-06,4096,320.15,1787808030.089
77,9711.298,5.341596,9e-06,4096,421.78,1787808039.801
78,12731.875,4.132795,9e-06,4096,321.71,1787808052.533
79,10192.616,4.265701,9e-06,4096,401.86,1787808062.726
80,7390.543,4.746474,1e-05,4096,554.22,1787808070.118
81,10105.142,4.257549,1e-05,4096,405.34,1787808080.223
82,11890.264,6.285996,1e-05,4096,344.48,1787808092.113
83,13051.776,4.657254,1e-05,4096,313.83,1787808105.165
84,10890.876,5.975871,1e-05,4096,376.09,1787808116.056
85,10190.151,5.017614,1e-05,4096,401.96,1787808126.248
86,12085.024,5.271047,1e-05,4096,338.93,1787808138.333
87,12771.923,3.704978,1e-05,4096,320.7,1787808151.105
88,12559.209,4.973636,1.1e-05,4096,326.14,1787808163.665
89,10939.921,7.279163,1.1e-05,4096,374.41,1787808174.605
90,13323.826,4.053483,1.1e-05,4096,307.42,1787808187.929
91,9884.756,3.875031,1.1e-05,4096,414.38,1787808197.814
92,11259.507,4.655696,1.1e-05,4096,363.78,1787808209.074
93,9587.485,5.665249,1.1e-05,4096,427.22,1787808218.661
94,10815.531,6.570364,1.1e-05,4096,378.71,1787808229.478
95,9100.835,4.025568,1.1e-05,4096,450.07,1787808238.578
96,11020.944,4.832297,1.2e-05,4096,371.66,1787808249.6
97,6339.823,5.128208,1.2e-05,4096,646.07,1787808255.94
98,11215.709,5.144165,1.2e-05,4096,365.2,1787808267.156
99,10833.033,5.387579,1.2e-05,4096,378.1,1787808277.989
100,9263.882,4.099439,1.2e-05,4096,442.15,1787808287.253
101,10305.911,6.39009,1.2e-05,4096,397.44,1787808297.56
102,9166.6,6.288829,1.2e-05,4096,446.84,1787808306.727
103,9604.192,4.81418,1.2e-05,4096,426.48,1787808316.331
104,12173.833,5.462228,1.3e-05,4096,336.46,1787808328.506
105,8202.619,4.089707,1.3e-05,4096,499.35,1787808336.709
106,12108.92,6.745931,1.3e-05,4096,338.26,1787808348.818
107,10359.64,5.450095,1.3e-05,4096,395.38,1787808359.178
108,9724.984,5.346214,1.3e-05,4096,421.18,1787808368.903
109,10856.581,5.353168,1.3e-05,4096,377.28,1787808379.76
110,10585.586,4.470152,1.3e-05,4096,386.94,1787808390.346
111,10938.669,4.361225,1.3e-05,4096,374.45,1787808401.285
112,13197.234,4.827182,1.4e-05,4096,310.37,1787808414.482
113,7017.368,4.533294,1.4e-05,4096,583.69,1787808421.5
114,10905.298,5.234903,1.4e-05,4096,375.6,1787808432.406
115,9496.961,6.96893,1.4e-05,4096,431.3,1787808441.904
116,8504.033,5.150188,1.4e-05,4096,481.65,1787808450.408
117,8595.988,4.531534,1.4e-05,4096,476.5,1787808459.004
118,8304.643,5.313552,1.4e-05,4096,493.22,1787808467.309
119,10692.104,4.515208,1.4e-05,4096,383.09,1787808478.002
